leg,time,lat,lng,tickLead,tickRace,distance
0,2015-01-02T02:42:19Z,-33.35536000,147.93343000,-173.0,-173.0,163.588
0,2015-01-02T02:42:49Z,-33.35536000,147.93345000,-143.0,-143.0,163.589
0,2015-01-02T02:43:19Z,-33.35391600,147.93301600,-113.0,-113.0,163.687
0,2015-01-02T02:43:49Z,-33.35168300,147.93240000,-83.0,-83.0,163.842
0,2015-01-02T02:43:51Z,-33.35153000,147.93231600,-81.0,-81.0,163.85
0,2015-01-02T02:43:53Z,-33.35140000,147.93225000,-79.0,-79.0,163.857
0,2015-01-02T02:43:55Z,-33.35125000,147.93218300,-77.0,-77.0,163.866
0,2015-01-02T02:43:57Z,-33.35108300,147.93216000,-75.0,-75.0,163.879
0,2015-01-02T02:43:59Z,-33.35091600,147.93213000,-73.0,-73.0,163.892
0,2015-01-02T02:44:01Z,-33.35075000,147.93210000,-71.0,-71.0,163.904
0,2015-01-02T02:44:03Z,-33.35056000,147.93210000,-69.0,-69.0,163.92
0,2015-01-02T02:44:05Z,-33.35041600,147.93211600,-67.0,-67.0,163.933
0,2015-01-02T02:44:07Z,-33.35028300,147.93211600,-65.0,-65.0,163.945
0,2015-01-02T02:44:09Z,-33.35015000,147.93213000,-63.0,-63.0,163.957
0,2015-01-02T02:44:11Z,-33.35001600,147.93215000,-61.0,-61.0,163.97
0,2015-01-02T02:44:13Z,-33.34986000,147.93216000,-59.0,-59.0,163.984
0,2015-01-02T02:44:15Z,-33.34973000,147.93216000,-57.0,-57.0,163.995
0,2015-01-02T02:44:17Z,-33.34956000,147.93213000,-55.0,-55.0,164.007
0,2015-01-02T02:44:19Z,-33.34941600,147.93215000,-53.0,-53.0,164.021
0,2015-01-02T02:44:21Z,-33.34928300,147.93218300,-51.0,-51.0,164.035
0,2015-01-02T02:44:23Z,-33.34913000,147.93220000,-49.0,-49.0,164.049
0,2015-01-02T02:44:25Z,-33.34900000,147.93223000,-47.0,-47.0,164.062
0,2015-01-02T02:44:27Z,-33.34885000,147.93226000,-45.0,-45.0,164.077
0,2015-01-02T02:44:29Z,-33.34871600,147.93230000,-43.0,-43.0,164.09
0,2015-01-02T02:44:31Z,-33.34858300,147.93231600,-41.0,-41.0,164.103
0,2015-01-02T02:44:33Z,-33.34846000,147.93235000,-39.0,-39.0,164.115
0,2015-01-02T02:44:35Z,-33.34831600,147.93236000,-37.0,-37.0,164.129
0,2015-01-02T02:44:37Z,-33.34815000,147.93238300,-35.0,-35.0,164.144
0,2015-01-02T02:44:39Z,-33.34800000,147.93245000,-33.0,-33.0,164.161
0,2015-01-02T02:44:41Z,-33.34785000,147.93251600,-31.0,-31.0,164.177
0,2015-01-02T02:44:43Z,-33.34768300,147.93258300,-29.0,-29.0,164.196
0,2015-01-02T02:44:45Z,-33.34753000,147.93273000,-27.0,-27.0,164.217
0,2015-01-02T02:44:47Z,-33.34740000,147.93288300,-25.0,-25.0,164.238
0,2015-01-02T02:44:49Z,-33.34726000,147.93306000,-23.0,-23.0,164.26
0,2015-01-02T02:44:51Z,-33.34715000,147.93330000,-21.0,-21.0,164.284
0,2015-01-02T02:44:53Z,-33.34706000,147.93355000,-19.0,-19.0,164.306
0,2015-01-02T02:44:55Z,-33.34696000,147.93380000,-17.0,-17.0,164.329
0,2015-01-02T02:44:57Z,-33.34686000,147.93401600,-15.0,-15.0,164.35
0,2015-01-02T02:44:59Z,-33.34673000,147.93420000,-13.0,-13.0,164.373
0,2015-01-02T02:45:01Z,-33.34658300,147.93435000,-11.0,-11.0,164.394
0,2015-01-02T02:45:02Z,-33.34650000,147.93443000,-10.0,-10.0,164.406
0,2015-01-02T02:45:04Z,-33.34631600,147.93456000,-8.0,-8.0,164.43
0,2015-01-02T02:45:06Z,-33.34611600,147.93468300,-6.0,-6.0,164.454
0,2015-01-02T02:45:08Z,-33.34591600,147.93471600,-4.0,-4.0,164.473
