leg,time,lat,lng,tickLead,tickRace,distance
0,2015-01-06T02:16:33Z,-33.35545000,147.93306000,-1371.0,-1371.0,250.337
0,2015-01-06T02:17:03Z,-33.35543000,147.93310000,-1341.0,-1341.0,250.341
0,2015-01-06T02:17:33Z,-33.35543000,147.93311600,-1311.0,-1311.0,250.342
0,2015-01-06T02:18:03Z,-33.35543000,147.93311600,-1281.0,-1281.0,250.342
0,2015-01-06T02:18:34Z,-33.35541600,147.93311600,-1250.0,-1250.0,250.342
0,2015-01-06T02:19:04Z,-33.35543000,147.93311600,-1220.0,-1220.0,250.342
0,2015-01-06T02:19:34Z,-33.35260000,147.93385000,-1190.0,-1190.0,250.452
0,2015-01-06T02:19:44Z,-33.35131600,147.93381600,-1180.0,-1180.0,250.47
0,2015-01-06T02:19:54Z,-33.34998300,147.93413000,-1170.0,-1170.0,250.52
0,2015-01-06T02:20:04Z,-33.34865000,147.93405000,-1160.0,-1160.0,250.533
0,2015-01-06T02:20:14Z,-33.34756000,147.93321600,-1150.0,-1150.0,250.474
0,2015-01-06T02:20:24Z,-33.34658300,147.93220000,-1140.0,-1140.0,250.397
0,2015-01-06T02:20:34Z,-33.34583000,147.93095000,-1130.0,-1130.0,250.294
0,2015-01-06T02:20:44Z,-33.34581600,147.92930000,-1120.0,-1120.0,250.146
0,2015-01-06T02:20:54Z,-33.34736000,147.92848300,-1110.0,-1110.0,250.042
0,2015-01-06T02:21:04Z,-33.34923000,147.92893000,-1100.0,-1100.0,250.054
0,2015-01-06T02:21:14Z,-33.35088300,147.92975000,-1090.0,-1090.0,250.103
0,2015-01-06T02:21:24Z,-33.35190000,147.93130000,-1080.0,-1080.0,250.232
0,2015-01-06T02:21:34Z,-33.35265000,147.93311600,-1070.0,-1070.0,250.385
0,2015-01-06T02:21:44Z,-33.35345000,147.93480000,-1060.0,-1060.0,250.527
0,2015-01-06T02:21:54Z,-33.35460000,147.93613000,-1050.0,-1050.0,250.631
0,2015-01-06T02:22:04Z,-33.35588300,147.93743000,-1040.0,-1040.0,250.732
0,2015-01-06T02:22:14Z,-33.35688300,147.93895000,-1030.0,-1030.0,250.857
0,2015-01-06T02:22:24Z,-33.35765000,147.94060000,-1020.0,-1020.0,250.997
0,2015-01-06T02:22:34Z,-33.35856000,147.94220000,-1010.0,-1010.0,251.131
0,2015-01-06T02:22:44Z,-33.35943000,147.94385000,-1000.0,-1000.0,251.27
0,2015-01-06T02:22:54Z,-33.36058300,147.94526000,-990.0,-990.0,251.384
0,2015-01-06T02:23:04Z,-33.36168300,147.94671600,-980.0,-980.0,251.502
0,2015-01-06T02:23:14Z,-33.36146000,147.94811600,-970.0,-970.0,251.634
0,2015-01-06T02:23:24Z,-33.36085000,147.94870000,-960.0,-960.0,251.696
0,2015-01-06T02:23:34Z,-33.36010000,147.94828300,-950.0,-950.0,251.669
0,2015-01-06T02:23:44Z,-33.36030000,147.94651600,-940.0,-940.0,251.503
0,2015-01-06T02:23:54Z,-33.36130000,147.94480000,-930.0,-930.0,251.33
0,2015-01-06T02:24:04Z,-33.36238300,147.94328300,-920.0,-920.0,251.175
0,2015-01-06T02:24:14Z,-33.36340000,147.94185000,-910.0,-910.0,251.029
0,2015-01-06T02:24:24Z,-33.36463000,147.94223000,-900.0,-900.0,251.047
0,2015-01-06T02:24:34Z,-33.36395000,147.94258300,-890.0,-890.0,251.089
0,2015-01-06T02:24:44Z,-33.36356000,147.94386000,-880.0,-880.0,251.212
0,2015-01-06T02:24:54Z,-33.36410000,147.94356000,-870.0,-870.0,251.177
0,2015-01-06T02:25:04Z,-33.36453000,147.94503000,-860.0,-860.0,251.306
0,2015-01-06T02:25:14Z,-33.36458300,147.94660000,-850.0,-850.0,251.45
0,2015-01-06T02:25:24Z,-33.36500000,147.94618300,-840.0,-840.0,251.405
0,2015-01-06T02:25:34Z,-33.36460000,147.94630000,-830.0,-830.0,251.424
0,2015-01-06T02:25:44Z,-33.36580000,147.94616000,-820.0,-820.0,251.393
0,2015-01-06T02:25:54Z,-33.36560000,147.94581600,-810.0,-810.0,251.363
0,2015-01-06T02:26:04Z,-33.36615000,147.94645000,-800.0,-800.0,251.414
0,2015-01-06T02:26:14Z,-33.36680000,147.94625000,-790.0,-790.0,251.387
0,2015-01-06T02:26:24Z,-33.36691600,147.94535000,-780.0,-780.0,251.302
0,2015-01-06T02:26:34Z,-33.36745000,147.94601600,-770.0,-770.0,251.356
0,2015-01-06T02:26:44Z,-33.36658300,147.94606000,-760.0,-760.0,251.373
0,2015-01-06T02:26:54Z,-33.36688300,147.94478300,-750.0,-750.0,251.25
0,2015-01-06T02:27:04Z,-33.36831600,147.94510000,-740.0,-740.0,251.26
0,2015-01-06T02:27:14Z,-33.36788300,147.94513000,-730.0,-730.0,251.269
0,2015-01-06T02:27:24Z,-33.36900000,147.94513000,-720.0,-720.0,251.254
0,2015-01-06T02:27:34Z,-33.36835000,147.94493000,-710.0,-710.0,251.244
0,2015-01-06T02:27:44Z,-33.36925000,147.94435000,-700.0,-700.0,251.178
0,2015-01-06T02:27:54Z,-33.36873000,147.94530000,-690.0,-690.0,251.273
0,2015-01-06T02:28:04Z,-33.36928300,147.94455000,-680.0,-680.0,251.196
0,2015-01-06T02:28:14Z,-33.36915000,147.94510000,-670.0,-670.0,251.248
0,2015-01-06T02:28:25Z,-33.36930000,147.94386000,-659.0,-659.0,251.132
0,2015-01-06T02:28:35Z,-33.36996000,147.94435000,-649.0,-649.0,251.168
0,2015-01-06T02:28:45Z,-33.37005000,147.94303000,-639.0,-639.0,251.046
0,2015-01-06T02:28:55Z,-33.37141600,147.94228300,-629.0,-629.0,250.958
0,2015-01-06T02:29:05Z,-33.37101600,147.94228300,-619.0,-619.0,250.964
0,2015-01-06T02:29:15Z,-33.37203000,147.94206000,-609.0,-609.0,250.93
0,2015-01-06T02:29:25Z,-33.37136000,147.94193000,-599.0,-599.0,250.927
0,2015-01-06T02:29:35Z,-33.37193000,147.94208300,-589.0,-589.0,250.933
0,2015-01-06T02:29:45Z,-33.37218300,147.94100000,-579.0,-579.0,250.83
0,2015-01-06T02:29:55Z,-33.37286000,147.94185000,-569.0,-569.0,250.899
0,2015-01-06T02:30:05Z,-33.37271600,147.94096000,-559.0,-559.0,250.82
0,2015-01-06T02:30:15Z,-33.37416000,147.94125000,-549.0,-549.0,250.827
0,2015-01-06T02:30:25Z,-33.37361600,147.94160000,-539.0,-539.0,250.866
0,2015-01-06T02:30:35Z,-33.37398300,147.94038300,-529.0,-529.0,250.749
0,2015-01-06T02:30:45Z,-33.37503000,147.94093000,-519.0,-519.0,250.786
0,2015-01-06T02:30:55Z,-33.37423000,147.94073000,-509.0,-509.0,250.778
0,2015-01-06T02:31:05Z,-33.37376000,147.93930000,-499.0,-499.0,250.655
0,2015-01-06T02:31:15Z,-33.37346000,147.93798300,-489.0,-489.0,250.535
0,2015-01-06T02:31:25Z,-33.37485000,147.93795000,-479.0,-479.0,250.514
0,2015-01-06T02:31:35Z,-33.37496000,147.93903000,-469.0,-469.0,250.612
0,2015-01-06T02:31:45Z,-33.37430000,147.93828300,-459.0,-459.0,250.551
0,2015-01-06T02:31:55Z,-33.37523000,147.93793000,-449.0,-449.0,250.507
0,2015-01-06T02:32:05Z,-33.37491600,147.93860000,-439.0,-439.0,250.579
0,2015-01-06T02:32:15Z,-33.37393000,147.93828300,-429.0,-429.0,250.556
0,2015-01-06T02:32:25Z,-33.37278300,147.93786000,-419.0,-419.0,250.533
0,2015-01-06T02:32:35Z,-33.37230000,147.93695000,-409.0,-409.0,250.455
0,2015-01-06T02:32:45Z,-33.37391600,147.93670000,-399.0,-399.0,250.411
0,2015-01-06T02:32:55Z,-33.37530000,147.93713000,-389.0,-389.0,250.432
0,2015-01-06T02:33:05Z,-33.37491600,147.93786000,-379.0,-379.0,250.505
0,2015-01-06T02:33:15Z,-33.37383000,147.93780000,-369.0,-369.0,250.513
0,2015-01-06T02:33:25Z,-33.37306000,147.93718300,-359.0,-359.0,250.466
0,2015-01-06T02:33:35Z,-33.37425000,147.93648300,-349.0,-349.0,250.386
0,2015-01-06T02:33:45Z,-33.37461600,147.93780000,-339.0,-339.0,250.503
0,2015-01-06T02:33:55Z,-33.37426000,147.93745000,-329.0,-329.0,250.475
0,2015-01-06T02:34:05Z,-33.37546000,147.93790000,-319.0,-319.0,250.501
0,2015-01-06T02:34:15Z,-33.37473000,147.93756000,-309.0,-309.0,250.48
0,2015-01-06T02:34:25Z,-33.37478300,147.93628300,-299.0,-299.0,250.361
0,2015-01-06T02:34:35Z,-33.37595000,147.93655000,-289.0,-289.0,250.37
0,2015-01-06T02:34:45Z,-33.37503000,147.93600000,-279.0,-279.0,250.393
0,2015-01-06T02:34:55Z,-33.37543000,147.93530000,-269.0,-269.0,250.265
0,2015-01-06T02:35:05Z,-33.37535000,147.93411600,-259.0,-259.0,250.154
0,2015-01-06T02:35:15Z,-33.37430000,147.93363000,-249.0,-249.0,250.123
0,2015-01-06T02:35:25Z,-33.37336000,147.93370000,-239.0,-239.0,250.141
0,2015-01-06T02:35:35Z,-33.37230000,147.93406000,-229.0,-229.0,250.189
0,2015-01-06T02:35:45Z,-33.37116000,147.93413000,-219.0,-219.0,250.21
0,2015-01-06T02:35:55Z,-33.37198300,147.93400000,-209.0,-209.0,250.187
0,2015-01-06T02:36:05Z,-33.37138300,147.93388300,-199.0,-199.0,250.184
0,2015-01-06T02:36:15Z,-33.37191600,147.93426000,-189.0,-189.0,250.213
0,2015-01-06T02:36:26Z,-33.37286000,147.93311600,-178.0,-178.0,250.094
0,2015-01-06T02:36:36Z,-33.37386000,147.93415000,-168.0,-168.0,250.176
0,2015-01-06T02:36:46Z,-33.37283000,147.93428300,-158.0,-158.0,250.202
0,2015-01-06T02:36:56Z,-33.37150000,147.93416000,-148.0,-148.0,250.209
0,2015-01-06T02:37:06Z,-33.37021600,147.93430000,-138.0,-138.0,250.242
0,2015-01-06T02:37:16Z,-33.36888300,147.93448300,-128.0,-128.0,250.274
0,2015-01-06T02:37:26Z,-33.36753000,147.93430000,-118.0,-118.0,250.278
0,2015-01-06T02:37:36Z,-33.36623000,147.93458300,-108.0,-108.0,250.32
0,2015-01-06T02:37:46Z,-33.36520000,147.93400000,-98.0,-98.0,250.28
0,2015-01-06T02:37:56Z,-33.36395000,147.93411600,-88.0,-88.0,250.309
1,2015-01-06T02:38:06Z,-33.36270000,147.93463000,-78.0,-78.0,250.374
1,2015-01-06T02:38:16Z,-33.36155000,147.93508300,-68.0,-68.0,250.432
1,2015-01-06T02:38:26Z,-33.36156000,147.93410000,-58.0,-58.0,250.342
1,2015-01-06T02:38:36Z,-33.36161600,147.93530000,-48.0,-48.0,250.451
1,2015-01-06T02:38:46Z,-33.36195000,147.93513000,-38.0,-38.0,250.431
1,2015-01-06T02:38:56Z,-33.36161600,147.93473000,-28.0,-28.0,250.399
1,2015-01-06T02:39:06Z,-33.36275000,147.93500000,-18.0,-18.0,250.407
1,2015-01-06T02:39:16Z,-33.36245000,147.93458300,-8.0,-8.0,250.373
1,2015-01-06T02:39:26Z,-33.36281600,147.93525000,2.0,2.0,250.429
1,2015-01-06T02:39:36Z,-33.36305000,147.93405000,12.0,12.0,250.316
1,2015-01-06T02:39:46Z,-33.36298300,147.93411600,22.0,22.0,250.323
1,2015-01-06T02:39:56Z,-33.36313000,147.93426000,32.0,32.0,250.334
1,2015-01-06T02:40:06Z,-33.36348300,147.93436000,42.0,42.0,250.338
1,2015-01-06T02:40:16Z,-33.36405000,147.93440000,52.0,52.0,250.333
1,2015-01-06T02:40:26Z,-33.36405000,147.93383000,62.0,62.0,250.281
1,2015-01-06T02:40:36Z,-33.36388300,147.93360000,72.0,72.0,250.262
1,2015-01-06T02:40:46Z,-33.36351600,147.93360000,82.0,82.0,250.267
1,2015-01-06T02:40:56Z,-33.36390000,147.93406000,92.0,92.0,250.305
1,2015-01-06T02:41:06Z,-33.36420000,147.93335000,102.0,102.0,250.235
1,2015-01-06T02:41:16Z,-33.36370000,147.93375000,112.0,112.0,250.279
1,2015-01-06T02:41:26Z,-33.36448300,147.93351600,122.0,122.0,250.246
1,2015-01-06T02:41:36Z,-33.36363000,147.93383000,132.0,132.0,250.287
1,2015-01-06T02:41:46Z,-33.36425000,147.93336000,142.0,142.0,250.235
1,2015-01-06T02:41:56Z,-33.36375000,147.93280000,152.0,152.0,250.19
1,2015-01-06T02:42:06Z,-33.36398300,147.93336000,162.0,162.0,250.239
1,2015-01-06T02:42:16Z,-33.36325000,147.93220000,172.0,172.0,250.142
1,2015-01-06T02:42:26Z,-33.36448300,147.93193000,182.0,182.0,250.1
1,2015-01-06T02:42:36Z,-33.36556000,147.93235000,192.0,192.0,250.123
1,2015-01-06T02:42:46Z,-33.36505000,147.93330000,202.0,202.0,250.218
1,2015-01-06T02:42:56Z,-33.36540000,147.93238300,212.0,212.0,250.129
1,2015-01-06T02:43:06Z,-33.36523000,147.93328300,222.0,222.0,250.214
1,2015-01-06T02:43:16Z,-33.36535000,147.93255000,232.0,232.0,250.145
1,2015-01-06T02:43:26Z,-33.36493000,147.93326000,242.0,242.0,250.217
1,2015-01-06T02:43:36Z,-33.36543000,147.93246000,252.0,252.0,250.136
1,2015-01-06T02:43:46Z,-33.36570000,147.93346000,262.0,262.0,250.224
