leg,time,lat,lng,tickLead,tickRace,distance
0,2015-01-06T02:22:30Z,-33.35338300,147.94605000,-1014.0,-1014.0,251.563
0,2015-01-06T02:22:34Z,-33.35308300,147.94556000,-1010.0,-1010.0,251.523
0,2015-01-06T02:22:37Z,-33.35273000,147.94545000,-1007.0,-1007.0,251.518
1,2015-01-06T02:22:58Z,-33.36170000,147.93490000,-986.0,-986.0,250.413
1,2015-01-06T02:23:01Z,-33.36140000,147.93468300,-983.0,-983.0,250.398
1,2015-01-06T02:23:04Z,-33.36108300,147.93458300,-980.0,-980.0,250.393
1,2015-01-06T02:23:07Z,-33.36080000,147.93475000,-977.0,-977.0,250.413
1,2015-01-06T02:23:10Z,-33.36060000,147.93506000,-974.0,-974.0,250.444
1,2015-01-06T02:23:13Z,-33.36070000,147.93541600,-971.0,-971.0,250.475
1,2015-01-06T02:23:16Z,-33.36096000,147.93571600,-968.0,-968.0,250.499
1,2015-01-06T02:23:19Z,-33.36138300,147.93575000,-965.0,-965.0,250.496
1,2015-01-06T02:23:22Z,-33.36168300,147.93541600,-962.0,-962.0,250.461
1,2015-01-06T02:23:25Z,-33.36170000,147.93483000,-959.0,-959.0,250.407
1,2015-01-06T02:23:28Z,-33.36151600,147.93431600,-956.0,-956.0,250.362
1,2015-01-06T02:23:31Z,-33.36121600,147.93398300,-953.0,-953.0,250.336
1,2015-01-06T02:23:34Z,-33.36085000,147.93386000,-950.0,-950.0,250.33
1,2015-01-06T02:23:37Z,-33.36065000,147.93410000,-947.0,-947.0,250.355
1,2015-01-06T02:23:40Z,-33.36060000,147.93445000,-944.0,-944.0,250.388
1,2015-01-06T02:23:43Z,-33.36086000,147.93476000,-941.0,-941.0,250.413
1,2015-01-06T02:23:46Z,-33.36126000,147.93475000,-938.0,-938.0,250.406
1,2015-01-06T02:23:49Z,-33.36170000,147.93445000,-935.0,-935.0,250.372
1,2015-01-06T02:23:52Z,-33.36198300,147.93400000,-932.0,-932.0,250.326
1,2015-01-06T02:23:55Z,-33.36201600,147.93343000,-929.0,-929.0,250.274
1,2015-01-06T02:23:58Z,-33.36190000,147.93295000,-926.0,-926.0,250.231
1,2015-01-06T02:24:01Z,-33.36156000,147.93258300,-923.0,-923.0,250.202
1,2015-01-06T02:24:04Z,-33.36125000,147.93245000,-920.0,-920.0,250.194
1,2015-01-06T02:24:07Z,-33.36093000,147.93250000,-917.0,-917.0,250.203
1,2015-01-06T02:24:10Z,-33.36081600,147.93283000,-914.0,-914.0,250.236
1,2015-01-06T02:24:13Z,-33.36090000,147.93318300,-911.0,-911.0,250.267
1,2015-01-06T02:24:16Z,-33.36116000,147.93343000,-908.0,-908.0,250.286
1,2015-01-06T02:24:19Z,-33.36161600,147.93343000,-905.0,-905.0,250.279
1,2015-01-06T02:24:22Z,-33.36206000,147.93325000,-902.0,-902.0,250.256
1,2015-01-06T02:24:25Z,-33.36250000,147.93295000,-899.0,-899.0,250.222
1,2015-01-06T02:24:28Z,-33.36295000,147.93271600,-896.0,-896.0,250.194
1,2015-01-06T02:24:31Z,-33.36340000,147.93271600,-893.0,-893.0,250.188
1,2015-01-06T02:24:34Z,-33.36376000,147.93296000,-890.0,-890.0,250.205
1,2015-01-06T02:24:37Z,-33.36395000,147.93340000,-887.0,-887.0,250.243
1,2015-01-06T02:24:40Z,-33.36391600,147.93388300,-884.0,-884.0,250.288
1,2015-01-06T02:24:43Z,-33.36383000,147.93425000,-881.0,-881.0,250.323
1,2015-01-06T02:24:46Z,-33.36378300,147.93460000,-878.0,-878.0,250.362
1,2015-01-06T02:24:49Z,-33.36380000,147.93511600,-875.0,-875.0,250.403
1,2015-01-06T02:24:52Z,-33.36380000,147.93558300,-872.0,-872.0,250.446
1,2015-01-06T02:24:55Z,-33.36385000,147.93600000,-869.0,-869.0,250.484
1,2015-01-06T02:24:58Z,-33.36393000,147.93641600,-866.0,-866.0,250.521
1,2015-01-06T02:25:01Z,-33.36406000,147.93685000,-863.0,-863.0,250.559
1,2015-01-06T02:25:04Z,-33.36428300,147.93721600,-860.0,-860.0,250.59
1,2015-01-06T02:25:07Z,-33.36460000,147.93736000,-857.0,-857.0,250.598
1,2015-01-06T02:25:10Z,-33.36510000,147.93721600,-854.0,-854.0,250.578
1,2015-01-06T02:25:13Z,-33.36543000,147.93676000,-851.0,-851.0,250.532
1,2015-01-06T02:25:16Z,-33.36550000,147.93618300,-848.0,-848.0,250.477
1,2015-01-06T02:25:19Z,-33.36528300,147.93571600,-845.0,-845.0,250.437
1,2015-01-06T02:25:22Z,-33.36503000,147.93545000,-842.0,-842.0,250.416
1,2015-01-06T02:25:25Z,-33.36470000,147.93543000,-839.0,-839.0,250.419
1,2015-01-06T02:25:28Z,-33.36443000,147.93555000,-836.0,-836.0,250.434
1,2015-01-06T02:25:31Z,-33.36425000,147.93575000,-833.0,-833.0,250.455
1,2015-01-06T02:25:34Z,-33.36418300,147.93605000,-830.0,-830.0,250.484
1,2015-01-06T02:25:37Z,-33.36430000,147.93636000,-827.0,-827.0,250.511
1,2015-01-06T02:25:40Z,-33.36461600,147.93648300,-824.0,-824.0,250.517
1,2015-01-06T02:25:43Z,-33.36500000,147.93625000,-821.0,-821.0,250.49
1,2015-01-06T02:25:46Z,-33.36518300,147.93571600,-818.0,-818.0,250.439
1,2015-01-06T02:25:49Z,-33.36506000,147.93521600,-815.0,-815.0,250.394
1,2015-01-06T02:25:52Z,-33.36476000,147.93491600,-812.0,-812.0,250.371
1,2015-01-06T02:25:55Z,-33.36445000,147.93488300,-809.0,-809.0,250.372
1,2015-01-06T02:25:58Z,-33.36410000,147.93491600,-806.0,-806.0,250.38
1,2015-01-06T02:26:01Z,-33.36378300,147.93510000,-803.0,-803.0,250.402
1,2015-01-06T02:26:04Z,-33.36358300,147.93540000,-800.0,-800.0,250.432
1,2015-01-06T02:26:07Z,-33.36350000,147.93578300,-797.0,-797.0,250.469
1,2015-01-06T02:26:10Z,-33.36368300,147.93610000,-794.0,-794.0,250.495
1,2015-01-06T02:26:13Z,-33.36401600,147.93618300,-791.0,-791.0,250.498
1,2015-01-06T02:26:16Z,-33.36438300,147.93601600,-788.0,-788.0,250.478
1,2015-01-06T02:26:19Z,-33.36470000,147.93560000,-785.0,-785.0,250.441
1,2015-01-06T02:26:22Z,-33.36488300,147.93513000,-782.0,-782.0,250.389
