leg,time,lat,lng,tickLead,tickRace,distance
1,2015-01-07T02:08:50Z,-33.35551667,147.93311667,-3071.0,-3071.0,158.6
1,2015-01-07T02:09:20Z,-33.35551667,147.93313333,-3041.0,-3041.0,158.601
1,2015-01-07T02:09:50Z,-33.35546667,147.93318333,-3011.0,-3011.0,158.608
1,2015-01-07T02:10:20Z,-33.35546667,147.93318333,-2981.0,-2981.0,158.608
1,2015-01-07T02:10:50Z,-33.35546667,147.93318333,-2951.0,-2951.0,158.608
1,2015-01-07T02:11:21Z,-33.35546667,147.93316667,-2920.0,-2920.0,158.607
1,2015-01-07T02:11:51Z,-33.35546667,147.93316667,-2890.0,-2890.0,158.607
1,2015-01-07T02:12:21Z,-33.35546667,147.93316667,-2860.0,-2860.0,158.607
1,2015-01-07T02:12:51Z,-33.35545000,147.93318333,-2830.0,-2830.0,158.609
1,2015-01-07T02:13:21Z,-33.35278333,147.93406667,-2800.0,-2800.0,158.908
1,2015-01-07T02:13:24Z,-33.35246667,147.93420000,-2797.0,-2797.0,158.945
1,2015-01-07T02:13:27Z,-33.35216667,147.93438333,-2794.0,-2794.0,158.982
1,2015-01-07T02:13:30Z,-33.35188333,147.93455000,-2791.0,-2791.0,159.018
1,2015-01-07T02:13:33Z,-33.35155000,147.93466667,-2788.0,-2788.0,159.055
1,2015-01-07T02:13:36Z,-33.35121667,147.93466667,-2785.0,-2785.0,159.088
1,2015-01-07T02:13:39Z,-33.35090000,147.93470000,-2782.0,-2782.0,159.12
1,2015-01-07T02:13:42Z,-33.35061667,147.93468333,-2779.0,-2779.0,159.147
1,2015-01-07T02:13:45Z,-33.35035000,147.93460000,-2776.0,-2776.0,159.169
1,2015-01-07T02:13:48Z,-33.35008333,147.93450000,-2773.0,-2773.0,159.19
1,2015-01-07T02:13:51Z,-33.34976667,147.93440000,-2770.0,-2770.0,159.216
1,2015-01-07T02:13:54Z,-33.34946667,147.93433333,-2767.0,-2767.0,159.242
1,2015-01-07T02:13:57Z,-33.34920000,147.93425000,-2764.0,-2764.0,159.265
1,2015-01-07T02:14:00Z,-33.34895000,147.93413333,-2761.0,-2761.0,159.284
1,2015-01-07T02:14:03Z,-33.34870000,147.93393333,-2758.0,-2758.0,159.299
1,2015-01-07T02:14:06Z,-33.34846667,147.93370000,-2755.0,-2755.0,159.311
1,2015-01-07T02:14:09Z,-33.34821667,147.93338333,-2752.0,-2752.0,159.321
1,2015-01-07T02:14:12Z,-33.34800000,147.93295000,-2749.0,-2749.0,159.322
1,2015-01-07T02:14:15Z,-33.34788333,147.93243333,-2746.0,-2746.0,159.311
1,2015-01-07T02:14:18Z,-33.34788333,147.93185000,-2743.0,-2743.0,159.284
1,2015-01-07T02:14:21Z,-33.34801667,147.93123333,-2740.0,-2740.0,159.244
1,2015-01-07T02:14:24Z,-33.34846667,147.93048333,-2737.0,-2737.0,159.166
1,2015-01-07T02:14:27Z,-33.34893333,147.93003333,-2734.0,-2734.0,159.1
1,2015-01-07T02:14:30Z,-33.34931667,147.92980000,-2731.0,-2731.0,159.053
1,2015-01-07T02:14:33Z,-33.35025000,147.92960000,-2728.0,-2728.0,158.953
1,2015-01-07T02:14:36Z,-33.35091667,147.92976667,-2725.0,-2725.0,158.895
1,2015-01-07T02:14:39Z,-33.35151667,147.93011667,-2722.0,-2722.0,158.853
1,2015-01-07T02:14:42Z,-33.35185000,147.93046667,-2719.0,-2719.0,158.836
1,2015-01-07T02:14:45Z,-33.35233333,147.93118333,-2716.0,-2716.0,158.822
1,2015-01-07T02:14:48Z,-33.35243333,147.93160000,-2713.0,-2713.0,158.831
1,2015-01-07T02:14:51Z,-33.35265000,147.93236667,-2710.0,-2710.0,158.844
1,2015-01-07T02:14:54Z,-33.35270000,147.93271667,-2707.0,-2707.0,158.855
1,2015-01-07T02:14:57Z,-33.35271667,147.93338333,-2704.0,-2704.0,158.884
1,2015-01-07T02:15:00Z,-33.35268333,147.93370000,-2701.0,-2701.0,158.901
1,2015-01-07T02:15:03Z,-33.35250000,147.93430000,-2698.0,-2698.0,158.946
1,2015-01-07T02:15:06Z,-33.35236667,147.93453333,-2695.0,-2695.0,158.97
1,2015-01-07T02:15:09Z,-33.35206667,147.93500000,-2692.0,-2692.0,159.02
1,2015-01-07T02:15:12Z,-33.35190000,147.93523333,-2689.0,-2689.0,159.047
1,2015-01-07T02:15:15Z,-33.35148333,147.93560000,-2686.0,-2686.0,159.104
1,2015-01-07T02:15:18Z,-33.35125000,147.93576667,-2683.0,-2683.0,159.134
1,2015-01-07T02:15:21Z,-33.35075000,147.93608333,-2680.0,-2680.0,159.197
1,2015-01-07T02:15:24Z,-33.35046667,147.93623333,-2677.0,-2677.0,159.231
1,2015-01-07T02:15:27Z,-33.34996667,147.93653333,-2674.0,-2674.0,159.293
1,2015-01-07T02:15:30Z,-33.34976667,147.93676667,-2671.0,-2671.0,159.323
1,2015-01-07T02:15:33Z,-33.34941667,147.93730000,-2668.0,-2668.0,159.382
1,2015-01-07T02:15:36Z,-33.34925000,147.93760000,-2665.0,-2665.0,159.411
1,2015-01-07T02:15:39Z,-33.34895000,147.93825000,-2662.0,-2662.0,159.47
1,2015-01-07T02:15:42Z,-33.34880000,147.93856667,-2659.0,-2659.0,159.499
1,2015-01-07T02:15:45Z,-33.34855000,147.93906667,-2656.0,-2656.0,159.546
1,2015-01-07T02:15:48Z,-33.34831667,147.93958333,-2653.0,-2653.0,159.592
1,2015-01-07T02:15:51Z,-33.34801667,147.94028333,-2650.0,-2650.0,159.653
1,2015-01-07T02:15:54Z,-33.34790000,147.94066667,-2647.0,-2647.0,159.682
1,2015-01-07T02:15:57Z,-33.34765000,147.94133333,-2644.0,-2644.0,159.736
1,2015-01-07T02:16:00Z,-33.34758333,147.94193333,-2641.0,-2641.0,159.77
1,2015-01-07T02:16:03Z,-33.34766667,147.94250000,-2638.0,-2638.0,159.788
1,2015-01-07T02:16:06Z,-33.34810000,147.94298333,-2635.0,-2635.0,159.768
1,2015-01-07T02:16:09Z,-33.34865000,147.94295000,-2632.0,-2632.0,159.713
1,2015-01-07T02:16:12Z,-33.34893333,147.94263333,-2629.0,-2629.0,159.671
1,2015-01-07T02:16:15Z,-33.34871667,147.94220000,-2626.0,-2626.0,159.673
1,2015-01-07T02:16:18Z,-33.34838333,147.94266667,-2623.0,-2623.0,159.726
1,2015-01-07T02:16:21Z,-33.34860000,147.94328333,-2620.0,-2620.0,159.733
1,2015-01-07T02:16:24Z,-33.34913333,147.94366667,-2617.0,-2617.0,159.699
1,2015-01-07T02:16:27Z,-33.34968333,147.94345000,-2614.0,-2614.0,159.636
1,2015-01-07T02:16:30Z,-33.34976667,147.94295000,-2611.0,-2611.0,159.605
1,2015-01-07T02:16:33Z,-33.34943333,147.94300000,-2608.0,-2608.0,159.64
1,2015-01-07T02:16:36Z,-33.34930000,147.94356667,-2605.0,-2605.0,159.679
1,2015-01-07T02:16:39Z,-33.34956667,147.94413333,-2602.0,-2602.0,159.679
1,2015-01-07T02:16:42Z,-33.35001667,147.94446667,-2599.0,-2599.0,159.651
1,2015-01-07T02:16:45Z,-33.35050000,147.94440000,-2596.0,-2596.0,159.601
1,2015-01-07T02:16:49Z,-33.35073333,147.94396667,-2592.0,-2592.0,159.558
1,2015-01-07T02:16:52Z,-33.35056667,147.94396667,-2589.0,-2589.0,159.574
1,2015-01-07T02:16:55Z,-33.35038333,147.94435000,-2586.0,-2586.0,159.61
1,2015-01-07T02:16:58Z,-33.35053333,147.94483333,-2583.0,-2583.0,159.617
1,2015-01-07T02:17:01Z,-33.35093333,147.94496667,-2580.0,-2580.0,159.585
1,2015-01-07T02:17:04Z,-33.35118333,147.94466667,-2577.0,-2577.0,159.547
1,2015-01-07T02:17:07Z,-33.35110000,147.94443333,-2574.0,-2574.0,159.544
1,2015-01-07T02:17:10Z,-33.35091667,147.94466667,-2571.0,-2571.0,159.573
1,2015-01-07T02:17:13Z,-33.35103333,147.94521667,-2568.0,-2568.0,159.587
1,2015-01-07T02:17:16Z,-33.35148333,147.94561667,-2565.0,-2565.0,159.562
1,2015-01-07T02:17:19Z,-33.35208333,147.94560000,-2562.0,-2562.0,159.503
1,2015-01-07T02:17:22Z,-33.35250000,147.94525000,-2559.0,-2559.0,159.447
1,2015-01-07T02:17:25Z,-33.35261667,147.94473333,-2556.0,-2556.0,159.412
1,2015-01-07T02:17:28Z,-33.35243333,147.94443333,-2553.0,-2553.0,159.415
1,2015-01-07T02:17:31Z,-33.35211667,147.94445000,-2550.0,-2550.0,159.447
1,2015-01-07T02:17:34Z,-33.35186667,147.94485000,-2547.0,-2547.0,159.489
1,2015-01-07T02:17:37Z,-33.35195000,147.94546667,-2544.0,-2544.0,159.51
1,2015-01-07T02:17:40Z,-33.35235000,147.94601667,-2541.0,-2541.0,159.496
1,2015-01-07T02:17:43Z,-33.35290000,147.94636667,-2538.0,-2538.0,159.459
1,2015-01-07T02:17:46Z,-33.35351667,147.94646667,-2535.0,-2535.0,159.404
1,2015-01-07T02:17:49Z,-33.35403333,147.94631667,-2532.0,-2532.0,159.348
1,2015-01-07T02:17:52Z,-33.35438333,147.94600000,-2529.0,-2529.0,159.299
1,2015-01-07T02:17:55Z,-33.35448333,147.94560000,-2526.0,-2526.0,159.271
1,2015-01-07T02:17:58Z,-33.35448333,147.94511667,-2523.0,-2523.0,159.249
1,2015-01-07T02:18:01Z,-33.35438333,147.94475000,-2520.0,-2520.0,159.242
1,2015-01-07T02:18:04Z,-33.35415000,147.94473333,-2517.0,-2517.0,159.263
1,2015-01-07T02:18:07Z,-33.35406667,147.94510000,-2514.0,-2514.0,159.288
1,2015-01-07T02:18:10Z,-33.35438333,147.94556667,-2511.0,-2511.0,159.279
1,2015-01-07T02:18:13Z,-33.35481667,147.94558333,-2508.0,-2508.0,159.238
1,2015-01-07T02:18:16Z,-33.35496667,147.94523333,-2505.0,-2505.0,159.208
1,2015-01-07T02:18:19Z,-33.35483333,147.94511667,-2502.0,-2502.0,159.215
1,2015-01-07T02:18:22Z,-33.35476667,147.94543333,-2499.0,-2499.0,159.236
1,2015-01-07T02:18:25Z,-33.35506667,147.94580000,-2496.0,-2496.0,159.224
1,2015-01-07T02:18:28Z,-33.35546667,147.94566667,-2493.0,-2493.0,159.179
1,2015-01-07T02:18:31Z,-33.35556667,147.94526667,-2490.0,-2490.0,159.151
1,2015-01-07T02:18:34Z,-33.35538333,147.94500000,-2487.0,-2487.0,159.157
1,2015-01-07T02:18:37Z,-33.35513333,147.94520000,-2484.0,-2484.0,159.19
1,2015-01-07T02:18:40Z,-33.35523333,147.94573333,-2481.0,-2481.0,159.205
1,2015-01-07T02:18:43Z,-33.35566667,147.94610000,-2478.0,-2478.0,159.18
1,2015-01-07T02:18:46Z,-33.35625000,147.94600000,-2475.0,-2475.0,159.119
1,2015-01-07T02:18:49Z,-33.35675000,147.94571667,-2472.0,-2472.0,159.058
1,2015-01-07T02:18:52Z,-33.35711667,147.94526667,-2469.0,-2469.0,159.002
1,2015-01-07T02:18:55Z,-33.35733333,147.94478333,-2466.0,-2466.0,158.959
1,2015-01-07T02:18:58Z,-33.35731667,147.94433333,-2463.0,-2463.0,158.939
1,2015-01-07T02:19:01Z,-33.35711667,147.94408333,-2460.0,-2460.0,158.947
1,2015-01-07T02:19:04Z,-33.35685000,147.94426667,-2457.0,-2457.0,158.981
1,2015-01-07T02:19:07Z,-33.35658333,147.94463333,-2454.0,-2454.0,159.024
1,2015-01-07T02:19:10Z,-33.35631667,147.94470000,-2451.0,-2451.0,159.053
1,2015-01-07T02:19:13Z,-33.35606667,147.94458333,-2448.0,-2448.0,159.072
1,2015-01-07T02:19:16Z,-33.35578333,147.94431667,-2445.0,-2445.0,159.087
1,2015-01-07T02:19:19Z,-33.35546667,147.94413333,-2442.0,-2442.0,159.109
1,2015-01-07T02:19:22Z,-33.35518333,147.94395000,-2439.0,-2439.0,159.128
1,2015-01-07T02:19:25Z,-33.35490000,147.94380000,-2436.0,-2436.0,159.148
1,2015-01-07T02:19:28Z,-33.35466667,147.94403333,-2433.0,-2433.0,159.181
1,2015-01-07T02:19:31Z,-33.35495000,147.94461667,-2430.0,-2430.0,159.181
1,2015-01-07T02:19:34Z,-33.35531667,147.94453333,-2427.0,-2427.0,159.142
1,2015-01-07T02:19:37Z,-33.35540000,147.94413333,-2424.0,-2424.0,159.115
1,2015-01-07T02:19:40Z,-33.35525000,147.94406667,-2421.0,-2421.0,159.127
1,2015-01-07T02:19:43Z,-33.35526667,147.94436667,-2418.0,-2418.0,159.139
1,2015-01-07T02:19:46Z,-33.35563333,147.94473333,-2415.0,-2415.0,159.12
1,2015-01-07T02:19:49Z,-33.35623333,147.94465000,-2412.0,-2412.0,159.059
1,2015-01-07T02:19:52Z,-33.35661667,147.94421667,-2409.0,-2409.0,159.002
1,2015-01-07T02:19:55Z,-33.35660000,147.94386667,-2406.0,-2406.0,158.987
1,2015-01-07T02:19:58Z,-33.35641667,147.94405000,-2403.0,-2403.0,159.013
1,2015-01-07T02:20:01Z,-33.35643333,147.94456667,-2400.0,-2400.0,159.035
1,2015-01-07T02:20:04Z,-33.35673333,147.94505000,-2397.0,-2397.0,159.029
1,2015-01-07T02:20:07Z,-33.35720000,147.94511667,-2394.0,-2394.0,158.987
1,2015-01-07T02:20:10Z,-33.35753333,147.94471667,-2391.0,-2391.0,158.936
1,2015-01-07T02:20:13Z,-33.35750000,147.94421667,-2388.0,-2388.0,158.916
1,2015-01-07T02:20:16Z,-33.35721667,147.94406667,-2385.0,-2385.0,158.937
1,2015-01-07T02:20:19Z,-33.35691667,147.94436667,-2382.0,-2382.0,158.979
1,2015-01-07T02:20:22Z,-33.35690000,147.94486667,-2379.0,-2379.0,159.004
1,2015-01-07T02:20:25Z,-33.35720000,147.94523333,-2376.0,-2376.0,158.992
1,2015-01-07T02:20:28Z,-33.35766667,147.94513333,-2373.0,-2373.0,158.943
1,2015-01-07T02:20:31Z,-33.35788333,147.94473333,-2370.0,-2370.0,158.903
1,2015-01-07T02:20:34Z,-33.35775000,147.94448333,-2367.0,-2367.0,158.904
1,2015-01-07T02:20:37Z,-33.35763333,147.94478333,-2364.0,-2364.0,158.93
