leg,time,lat,lng,tickLead,tickRace,distance
0,2015-01-08T01:20:19Z,-33.35618333,147.93366667,-4946.0,-4946.0,123.037
0,2015-01-08T01:20:49Z,-33.35618333,147.93366667,-4916.0,-4916.0,123.037
0,2015-01-08T01:21:19Z,-33.35616667,147.93366667,-4886.0,-4886.0,123.039
0,2015-01-08T01:21:49Z,-33.35358333,147.93226667,-4856.0,-4856.0,123.349
0,2015-01-08T01:21:59Z,-33.35246667,147.93186667,-4846.0,-4846.0,123.479
0,2015-01-08T01:22:09Z,-33.35130000,147.93135000,-4836.0,-4836.0,123.616
0,2015-01-08T01:22:19Z,-33.35020000,147.93080000,-4826.0,-4826.0,123.748
0,2015-01-08T01:22:29Z,-33.34910000,147.93033333,-4816.0,-4816.0,123.877
0,2015-01-08T01:22:39Z,-33.34811667,147.92973333,-4806.0,-4806.0,123.997
0,2015-01-08T01:22:49Z,-33.34781667,147.92820000,-4796.0,-4796.0,124.065
0,2015-01-08T01:22:59Z,-33.34895000,147.92646667,-4786.0,-4786.0,123.984
0,2015-01-08T01:23:09Z,-33.35105000,147.92575000,-4776.0,-4776.0,123.776
0,2015-01-08T01:23:19Z,-33.35315000,147.92676667,-4766.0,-4766.0,123.526
0,2015-01-08T01:23:29Z,-33.35438333,147.92893333,-4756.0,-4756.0,123.341
0,2015-01-08T01:23:39Z,-33.35443333,147.93106667,-4746.0,-4746.0,123.286
0,2015-01-08T01:23:49Z,-33.35380000,147.93271667,-4736.0,-4736.0,123.316
0,2015-01-08T01:24:00Z,-33.35296667,147.93420000,-4725.0,-4725.0,123.371
0,2015-01-08T01:24:10Z,-33.35201667,147.93533333,-4715.0,-4715.0,123.448
0,2015-01-08T01:24:20Z,-33.35140000,147.93725000,-4705.0,-4705.0,123.471
0,2015-01-08T01:24:30Z,-33.35073333,147.93895000,-4695.0,-4695.0,123.505
0,2015-01-08T01:24:40Z,-33.34955000,147.93968333,-4685.0,-4685.0,123.617
0,2015-01-08T01:24:50Z,-33.34860000,147.93943333,-4675.0,-4675.0,123.725
0,2015-01-08T01:25:00Z,-33.34848333,147.93811667,-4665.0,-4665.0,123.767
0,2015-01-08T01:25:10Z,-33.34850000,147.93660000,-4655.0,-4655.0,123.799
0,2015-01-08T01:25:20Z,-33.34798333,147.93550000,-4645.0,-4645.0,123.879
0,2015-01-08T01:25:30Z,-33.34715000,147.93466667,-4635.0,-4635.0,123.988
0,2015-01-08T01:25:40Z,-33.34640000,147.93425000,-4625.0,-4625.0,124.078
0,2015-01-08T01:25:50Z,-33.34570000,147.93358333,-4615.0,-4615.0,124.169
0,2015-01-08T01:26:00Z,-33.34488333,147.93355000,-4605.0,-4605.0,124.257
0,2015-01-08T01:26:10Z,-33.34398333,147.93400000,-4595.0,-4595.0,124.344
0,2015-01-08T01:26:20Z,-33.34316667,147.93355000,-4585.0,-4585.0,124.443
