fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
214,1,1,-1228.165770185596,-1228.165770185596,,,,0.0,135.346
246,1,33,-1100.165770185596,-1100.165770185596,,,,0.0,135.295
247,1,34,-1096.165770185596,-1096.165770185596,,,,0.0,135.25
248,1,35,-1092.165770185596,-1092.165770185596,,,,0.0,135.216
251,1,38,-1080.165770185596,-1080.165770185596,,,,0.0,135.19
252,1,39,-1076.165770185596,-1076.165770185596,,,,0.0,135.121
255,1,42,-1064.165770185596,-1064.165770185596,,,,0.0,135.066
256,1,43,-1060.165770185596,-1060.165770185596,,,,0.0,135.03
258,1,45,-1052.165770185596,-1052.165770185596,,,,0.0,135.019
259,1,46,-1048.165770185596,-1048.165770185596,,,,0.0,134.958
262,1,49,-1036.165770185596,-1036.165770185596,,,,0.0,134.957
263,1,50,-1032.165770185596,-1032.165770185596,,,,0.0,134.895
266,1,53,-1020.165770185596,-1020.165770185596,,,,0.0,134.863
267,1,54,-1016.165770185596,-1016.165770185596,,,,0.0,134.849
269,1,56,-1008.165770185596,-1008.165770185596,,,,0.0,134.844
270,1,57,-1004.165770185596,-1004.165770185596,,,,0.0,134.788
273,1,60,-992.165770185596,-992.165770185596,,,,0.0,134.752
274,1,61,-988.165770185596,-988.165770185596,,,,0.0,134.727
277,1,64,-976.165770185596,-976.165770185596,,,,0.0,134.679
278,1,65,-972.165770185596,-972.165770185596,,,,0.0,134.671
281,1,68,-960.165770185596,-960.165770185596,,,,0.0,134.654
284,1,71,-948.165770185596,-948.165770185596,,,,0.0,134.616
285,1,72,-944.165770185596,-944.165770185596,,,,0.0,134.612
287,1,74,-936.165770185596,-936.165770185596,,,,0.0,134.558
290,1,77,-924.165770185596,-924.165770185596,,,,0.0,134.501
293,1,80,-912.165770185596,-912.165770185596,,,,0.0,134.456
296,1,83,-900.165770185596,-900.165770185596,,,,0.0,134.44
297,1,84,-896.165770185596,-896.165770185596,,,,0.0,134.407
300,1,87,-884.165770185596,-884.165770185596,,,,0.0,134.383
301,1,88,-880.165770185596,-880.165770185596,,,,0.0,134.382
303,1,90,-872.165770185596,-872.165770185596,,,,0.0,134.356
304,1,91,-868.165770185596,-868.165770185596,,,,0.0,134.32
307,1,94,-856.165770185596,-856.165770185596,,,,0.0,134.276
310,1,97,-844.165770185596,-844.165770185596,,,,0.0,134.273
311,1,98,-840.165770185596,-840.165770185596,,,,0.0,134.222
315,1,102,-824.165770185596,-824.165770185596,,,,0.0,134.183
319,1,106,-808.165770185596,-808.165770185596,,,,0.0,134.168
323,1,110,-792.165770185596,-792.165770185596,,,,0.0,134.15
329,1,116,-768.165770185596,-768.165770185596,,,,0.0,134.089
330,1,117,-764.165770185596,-764.165770185596,,,,0.0,134.04
334,1,121,-748.165770185596,-748.165770185596,,,,0.0,134.008
339,1,126,-728.165770185596,-728.165770185596,,,,0.0,133.972
340,1,127,-724.165770185596,-724.165770185596,,,,0.0,133.906
341,1,128,-720.165770185596,-720.165770185596,,,,0.0,133.845
342,1,129,-716.165770185596,-716.165770185596,,,,0.0,133.799
351,1,138,-680.165770185596,-680.165770185596,,,,0.0,133.762
352,1,139,-676.165770185596,-676.165770185596,,,,0.0,133.701
353,1,140,-672.165770185596,-672.165770185596,,,,0.0,133.637
354,1,141,-668.165770185596,-668.165770185596,,,,0.0,133.567
355,1,142,-664.165770185596,-664.165770185596,,,,0.0,133.497
356,1,143,-660.165770185596,-660.165770185596,,,,0.0,133.429
357,1,144,-656.165770185596,-656.165770185596,,,,0.0,133.365
358,1,145,-652.165770185596,-652.165770185596,,,,0.0,133.302
359,1,146,-648.165770185596,-648.165770185596,,,,0.0,133.232
360,1,147,-644.165770185596,-644.165770185596,,,,0.0,133.152
361,1,148,-640.165770185596,-640.165770185596,,,,0.0,133.081
362,1,149,-636.165770185596,-636.165770185596,,,,0.0,132.999
363,1,150,-632.165770185596,-632.165770185596,,,,0.0,132.921
364,1,151,-628.165770185596,-628.165770185596,,,,0.0,132.847
365,1,152,-624.165770185596,-624.165770185596,,,,0.0,132.778
366,1,153,-620.165770185596,-620.165770185596,,,,0.0,132.707
367,1,154,-616.165770185596,-616.165770185596,,,,0.0,132.638
368,1,155,-612.165770185596,-612.165770185596,,,,0.0,132.561
369,1,156,-608.165770185596,-608.165770185596,,,,0.0,132.482
370,1,157,-604.165770185596,-604.165770185596,,,,0.0,132.436
376,1,163,-580.165770185596,-580.165770185596,,,,0.0,132.4
377,1,164,-576.165770185596,-576.165770185596,,,,0.0,132.394
