fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
7,,,,200.0,-3644.00558715547,-3644.00558715547,1,1,158.558,0.0
40,,,,322.0,-3478.00558715547,-3478.00558715547,34,1,158.491,0.0
41,,,,334.0,-3473.00558715547,-3473.00558715547,35,1,158.384,0.0
42,,,,350.0,-3468.00558715547,-3468.00558715547,36,1,158.273,0.0
43,,,,364.0,-3463.00558715547,-3463.00558715547,37,1,158.163,0.0
44,,,,386.0,-3458.00558715547,-3458.00558715547,38,1,158.072,0.0
45,,,,399.0,-3453.00558715547,-3453.00558715547,39,1,158.01,0.0
46,,,,401.0,-3448.00558715547,-3448.00558715547,40,1,157.98,0.0
47,,,,399.0,-3443.00558715547,-3443.00558715547,41,1,157.979,0.0
80,,,,725.0,-3277.00558715547,-3277.00558715547,74,1,157.977,0.0
81,,,,735.0,-3272.00558715547,-3272.00558715547,75,1,157.952,0.0
84,,,,753.0,-3257.00558715547,-3257.00558715547,78,1,157.904,0.0
85,,,,756.0,-3252.00558715547,-3252.00558715547,79,1,157.893,0.0
88,,,,770.0,-3237.00558715547,-3237.00558715547,82,1,157.864,0.0
89,,,,766.0,-3232.00558715547,-3232.00558715547,83,1,157.824,0.0
91,,,,777.0,-3222.00558715547,-3222.00558715547,85,1,157.803,0.0
92,,,,775.0,-3217.00558715547,-3217.00558715547,86,1,157.766,0.0
93,,,,783.0,-3212.00558715547,-3212.00558715547,87,1,157.664,0.0
94,,,,785.0,-3207.00558715547,-3207.00558715547,88,1,157.622,0.0
98,,,,789.0,-3187.00558715547,-3187.00558715547,92,1,157.554,0.0
104,,,,785.0,-3156.00558715547,-3156.00558715547,98,1,157.509,0.0
105,,,,792.0,-3151.00558715547,-3151.00558715547,99,1,157.507,0.0
121,,,,810.0,-3071.00558715547,-3071.00558715547,115,1,157.466,0.0
127,,,,810.0,-3041.00558715547,-3041.00558715547,121,1,157.398,0.0
128,,,,812.0,-3036.00558715547,-3036.00558715547,122,1,157.36,0.0
216,,,,1048.0,-2594.00558715547,-2594.00558715547,210,1,157.338,0.0
219,,,,1064.0,-2579.00558715547,-2579.00558715547,213,1,157.323,0.0
222,,,,1087.0,-2564.00558715547,-2564.00558715547,216,1,157.291,0.0
223,,,,1095.0,-2559.00558715547,-2559.00558715547,217,1,157.249,0.0
229,,,,1117.0,-2529.00558715547,-2529.00558715547,223,1,157.203,0.0
230,,,,1118.0,-2524.00558715547,-2524.00558715547,224,1,157.109,0.0
231,,,,1124.0,-2519.00558715547,-2519.00558715547,225,1,157.062,0.0
236,,,,1132.0,-2494.00558715547,-2494.00558715547,230,1,157.009,0.0
237,,,,1142.0,-2489.00558715547,-2489.00558715547,231,1,156.955,0.0
242,,,,1150.0,-2463.00558715547,-2463.00558715547,236,1,156.947,0.0
243,,,,1145.0,-2458.00558715547,-2458.00558715547,237,1,156.903,0.0
247,,,,1142.0,-2438.00558715547,-2438.00558715547,241,1,156.875,0.0
248,,,,1140.0,-2433.00558715547,-2433.00558715547,242,1,156.777,0.0
249,,,,1135.0,-2428.00558715547,-2428.00558715547,243,1,156.751,0.0
463,,,,1758.0,-1353.00558715547,-1353.00558715547,457,1,156.692,0.0
464,,,,1752.0,-1348.00558715547,-1348.00558715547,458,1,156.587,0.0
465,,,,1747.0,-1343.00558715547,-1343.00558715547,459,1,156.477,0.0
466,,,,1734.0,-1338.00558715547,-1338.00558715547,460,1,156.373,0.0
467,,,,1728.0,-1333.00558715547,-1333.00558715547,461,1,156.274,0.0
468,,,,1710.0,-1328.00558715547,-1328.00558715547,462,1,156.175,0.0
469,,,,1690.0,-1323.00558715547,-1323.00558715547,463,1,156.077,0.0
470,,,,1680.0,-1318.00558715547,-1318.00558715547,464,1,155.975,0.0
