fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
16,1,1,-3872.00558715547,-3872.00558715547,,,,201.0,158.565
99,1,84,-3037.00558715547,-3037.00558715547,,,,1296.0,158.541
103,1,88,-2997.00558715547,-2997.00558715547,,,,1327.0,158.507
104,1,89,-2987.00558715547,-2987.00558715547,,,,1320.0,158.346
105,1,90,-2977.00558715547,-2977.00558715547,,,,1323.0,158.263
114,1,99,-2887.00558715547,-2887.00558715547,,,,1384.0,158.261
124,1,109,-2786.00558715547,-2786.00558715547,,,,1391.0,158.113
125,1,110,-2776.00558715547,-2776.00558715547,,,,1412.0,158.011
128,1,113,-2746.00558715547,-2746.00558715547,,,,1483.0,157.953
130,1,115,-2726.00558715547,-2726.00558715547,,,,1528.0,157.852
132,1,117,-2705.00558715547,-2705.00558715547,,,,1562.0,157.851
134,1,119,-2685.00558715547,-2685.00558715547,,,,1600.0,157.83
136,1,121,-2665.00558715547,-2665.00558715547,,,,1643.0,157.711
138,1,123,-2645.00558715547,-2645.00558715547,,,,1675.0,157.678
140,1,125,-2625.00558715547,-2625.00558715547,,,,1708.0,157.66
144,1,129,-2585.00558715547,-2585.00558715547,,,,1773.0,157.533
147,1,132,-2555.00558715547,-2555.00558715547,,,,1808.0,157.462
151,1,136,-2514.00558715547,-2514.00558715547,,,,1817.0,157.402
241,1,226,-1610.00558715547,-1610.00558715547,,,,1894.0,157.214
242,1,227,-1600.00558715547,-1600.00558715547,,,,1877.0,157.049
243,1,228,-1590.00558715547,-1590.00558715547,,,,1850.0,156.863
244,1,229,-1580.00558715547,-1580.00558715547,,,,1830.0,156.684
245,1,230,-1570.00558715547,-1570.00558715547,,,,1808.0,156.504
246,1,231,-1560.00558715547,-1560.00558715547,,,,1793.0,156.332
247,1,232,-1550.00558715547,-1550.00558715547,,,,1773.0,156.161
248,1,233,-1539.00558715547,-1539.00558715547,,,,1754.0,155.985
249,1,234,-1529.00558715547,-1529.00558715547,,,,1731.0,155.797
250,1,235,-1519.00558715547,-1519.00558715547,,,,1710.0,155.601
251,1,236,-1509.00558715547,-1509.00558715547,,,,1695.0,155.391
252,1,237,-1499.00558715547,-1499.00558715547,,,,1701.0,155.199
253,1,238,-1489.00558715547,-1489.00558715547,,,,1690.0,155.073
