fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
24,1,1,-1362.00558715547,-1362.00558715547,,,,204.0,158.563
63,1,40,-1284.00558715547,-1284.00558715547,,,,459.0,158.557
64,1,41,-1282.00558715547,-1282.00558715547,,,,463.0,158.531
65,1,42,-1280.00558715547,-1280.00558715547,,,,465.0,158.51
66,1,43,-1278.00558715547,-1278.00558715547,,,,466.0,158.494
67,1,44,-1276.00558715547,-1276.00558715547,,,,469.0,158.482
68,1,45,-1274.00558715547,-1274.00558715547,,,,473.0,158.473
69,1,46,-1272.00558715547,-1272.00558715547,,,,481.0,158.464
70,1,47,-1270.00558715547,-1270.00558715547,,,,484.0,158.453
71,1,48,-1268.00558715547,-1268.00558715547,,,,495.0,158.435
72,1,49,-1266.00558715547,-1266.00558715547,,,,503.0,158.416
73,1,50,-1264.00558715547,-1264.00558715547,,,,520.0,158.397
74,1,51,-1262.00558715547,-1262.00558715547,,,,524.0,158.37
75,1,52,-1260.00558715547,-1260.00558715547,,,,528.0,158.341
76,1,53,-1258.00558715547,-1258.00558715547,,,,528.0,158.313
77,1,54,-1255.00558715547,-1255.00558715547,,,,530.0,158.281
78,1,55,-1253.00558715547,-1253.00558715547,,,,542.0,158.252
79,1,56,-1251.00558715547,-1251.00558715547,,,,552.0,158.224
80,1,57,-1249.00558715547,-1249.00558715547,,,,563.0,158.204
81,1,58,-1247.00558715547,-1247.00558715547,,,,571.0,158.183
82,1,59,-1245.00558715547,-1245.00558715547,,,,568.0,158.161
83,1,60,-1243.00558715547,-1243.00558715547,,,,569.0,158.14
84,1,61,-1241.00558715547,-1241.00558715547,,,,575.0,158.121
85,1,62,-1239.00558715547,-1239.00558715547,,,,581.0,158.106
86,1,63,-1237.00558715547,-1237.00558715547,,,,581.0,158.092
87,1,64,-1235.00558715547,-1235.00558715547,,,,579.0,158.081
88,1,65,-1233.00558715547,-1233.00558715547,,,,579.0,158.073
89,1,66,-1231.00558715547,-1231.00558715547,,,,581.0,158.069
90,1,67,-1229.00558715547,-1229.00558715547,,,,581.0,158.067
91,1,68,-1227.00558715547,-1227.00558715547,,,,579.0,158.061
92,1,69,-1225.00558715547,-1225.00558715547,,,,577.0,158.06
96,1,73,-1217.00558715547,-1217.00558715547,,,,599.0,158.058
97,1,74,-1215.00558715547,-1215.00558715547,,,,597.0,158.056
98,1,75,-1213.00558715547,-1213.00558715547,,,,599.0,158.051
164,1,141,-1080.00558715547,-1080.00558715547,,,,909.0,158.032
165,1,142,-1078.00558715547,-1078.00558715547,,,,916.0,158.0
166,1,143,-1076.00558715547,-1076.00558715547,,,,919.0,157.98
167,1,144,-1074.00558715547,-1074.00558715547,,,,925.0,157.961
168,1,145,-1072.00558715547,-1072.00558715547,,,,932.0,157.949
169,1,146,-1070.00558715547,-1070.00558715547,,,,938.0,157.945
177,1,154,-1054.00558715547,-1054.00558715547,,,,983.0,157.92
178,1,155,-1052.00558715547,-1052.00558715547,,,,988.0,157.884
179,1,156,-1049.00558715547,-1049.00558715547,,,,993.0,157.853
180,1,157,-1047.00558715547,-1047.00558715547,,,,995.0,157.827
181,1,158,-1045.00558715547,-1045.00558715547,,,,1000.0,157.811
182,1,159,-1043.00558715547,-1043.00558715547,,,,1009.0,157.809
187,1,164,-1033.00558715547,-1033.00558715547,,,,1025.0,157.799
188,1,165,-1031.00558715547,-1031.00558715547,,,,1030.0,157.765
189,1,166,-1029.00558715547,-1029.00558715547,,,,1035.0,157.741
190,1,167,-1027.00558715547,-1027.00558715547,,,,1042.0,157.728
191,1,168,-1025.00558715547,-1025.00558715547,,,,1047.0,157.724
196,1,173,-1015.00558715547,-1015.00558715547,,,,1065.0,157.702
197,1,174,-1013.00558715547,-1013.00558715547,,,,1067.0,157.674
198,1,175,-1011.00558715547,-1011.00558715547,,,,1072.0,157.652
199,1,176,-1009.00558715547,-1009.00558715547,,,,1080.0,157.648
204,1,181,-999.00558715547,-999.00558715547,,,,1102.0,157.645
205,1,182,-997.00558715547,-997.00558715547,,,,1109.0,157.609
206,1,183,-995.00558715547,-995.00558715547,,,,1109.0,157.581
207,1,184,-993.00558715547,-993.00558715547,,,,1112.0,157.567
213,1,190,-981.00558715547,-981.00558715547,,,,1141.0,157.55
214,1,191,-979.00558715547,-979.00558715547,,,,1146.0,157.517
215,1,192,-977.00558715547,-977.00558715547,,,,1147.0,157.496
216,1,193,-975.00558715547,-975.00558715547,,,,1150.0,157.488
217,1,194,-973.00558715547,-973.00558715547,,,,1156.0,157.486
