fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
29,,,,221.0,-2641.67908823773,-2641.67908823773,1,1,162.925,0.0
91,,,,1119.0,-2330.67908823773,-2330.67908823773,63,1,162.906,0.0
92,,,,1139.0,-2325.67908823773,-2325.67908823773,64,1,162.876,0.0
96,,,,1168.0,-2305.67908823773,-2305.67908823773,68,1,162.85,0.0
97,,,,1181.0,-2300.67908823773,-2300.67908823773,69,1,162.767,0.0
98,,,,1190.0,-2295.67908823773,-2295.67908823773,70,1,162.73,0.0
102,,,,1201.0,-2275.67908823773,-2275.67908823773,74,1,162.691,0.0
103,,,,1215.0,-2270.67908823773,-2270.67908823773,75,1,162.599,0.0
104,,,,1213.0,-2265.67908823773,-2265.67908823773,76,1,162.583,0.0
106,,,,1222.0,-2255.67908823773,-2255.67908823773,78,1,162.544,0.0
107,,,,1229.0,-2250.67908823773,-2250.67908823773,79,1,162.453,0.0
108,,,,1244.0,-2245.67908823773,-2245.67908823773,80,1,162.397,0.0
112,,,,1261.0,-2225.67908823773,-2225.67908823773,84,1,162.348,0.0
113,,,,1278.0,-2220.67908823773,-2220.67908823773,85,1,162.244,0.0
114,,,,1293.0,-2215.67908823773,-2215.67908823773,86,1,162.145,0.0
115,,,,1306.0,-2210.67908823773,-2210.67908823773,87,1,162.13,0.0
117,,,,1334.0,-2200.67908823773,-2200.67908823773,89,1,162.062,0.0
118,,,,1347.0,-2195.67908823773,-2195.67908823773,90,1,161.987,0.0
121,,,,1385.0,-2180.67908823773,-2180.67908823773,93,1,161.914,0.0
122,,,,1395.0,-2175.67908823773,-2175.67908823773,94,1,161.828,0.0
123,,,,1407.0,-2170.67908823773,-2170.67908823773,95,1,161.782,0.0
126,,,,1445.0,-2155.67908823773,-2155.67908823773,98,1,161.712,0.0
127,,,,1456.0,-2149.67908823773,-2149.67908823773,99,1,161.643,0.0
130,,,,1495.0,-2134.67908823773,-2134.67908823773,102,1,161.614,0.0
131,,,,1502.0,-2129.67908823773,-2129.67908823773,103,1,161.524,0.0
132,,,,1522.0,-2124.67908823773,-2124.67908823773,104,1,161.515,0.0
133,,,,1533.0,-2119.67908823773,-2119.67908823773,105,1,161.488,0.0
134,,,,1546.0,-2114.67908823773,-2114.67908823773,106,1,161.392,0.0
137,,,,1584.0,-2099.67908823773,-2099.67908823773,109,1,161.339,0.0
138,,,,1586.0,-2094.67908823773,-2094.67908823773,110,1,161.242,0.0
139,,,,1588.0,-2089.67908823773,-2089.67908823773,111,1,161.191,0.0
143,,,,1622.0,-2069.67908823773,-2069.67908823773,115,1,161.128,0.0
144,,,,1617.0,-2064.67908823773,-2064.67908823773,116,1,161.03,0.0
145,,,,1608.0,-2059.67908823773,-2059.67908823773,117,1,160.94,0.0
146,,,,1588.0,-2054.67908823773,-2054.67908823773,118,1,160.901,0.0
151,,,,1616.0,-2029.67908823773,-2029.67908823773,123,1,160.839,0.0
155,,,,1638.0,-2009.67908823773,-2009.67908823773,127,1,160.768,0.0
156,,,,1645.0,-2004.67908823773,-2004.67908823773,128,1,160.673,0.0
157,,,,1644.0,-1999.67908823773,-1999.67908823773,129,1,160.616,0.0
163,,,,1701.0,-1969.67908823773,-1969.67908823773,135,1,160.543,0.0
164,,,,1710.0,-1964.67908823773,-1964.67908823773,136,1,160.521,0.0
167,,,,1733.0,-1949.67908823773,-1949.67908823773,139,1,160.52,0.0
168,,,,1733.0,-1944.67908823773,-1944.67908823773,140,1,160.426,0.0
169,,,,1736.0,-1939.67908823773,-1939.67908823773,141,1,160.377,0.0
176,,,,1759.0,-1904.67908823773,-1904.67908823773,148,1,160.349,0.0
177,,,,1762.0,-1899.67908823773,-1899.67908823773,149,1,160.285,0.0
178,,,,1762.0,-1894.67908823773,-1894.67908823773,150,1,160.256,0.0
349,,,,1870.0,-1036.67908823773,-1036.67908823773,321,1,160.239,0.0
350,,,,1863.0,-1030.67908823773,-1030.67908823773,322,1,160.221,0.0
351,,,,1851.0,-1025.67908823773,-1025.67908823773,323,1,160.207,0.0
352,,,,1842.0,-1020.67908823773,-1020.67908823773,324,1,160.17,0.0
353,,,,1825.0,-1015.67908823773,-1015.67908823773,325,1,160.139,0.0
