fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,1,1,-3233.67908823773,-3233.67908823773,,,,225.0,162.913
57,1,57,-2672.67908823773,-2672.67908823773,,,,770.0,162.878
59,1,59,-2652.67908823773,-2652.67908823773,,,,818.0,162.795
60,1,60,-2642.67908823773,-2642.67908823773,,,,841.0,162.699
61,1,61,-2632.67908823773,-2632.67908823773,,,,863.0,162.632
62,1,62,-2622.67908823773,-2622.67908823773,,,,885.0,162.61
63,1,63,-2612.67908823773,-2612.67908823773,,,,912.0,162.569
64,1,64,-2602.67908823773,-2602.67908823773,,,,937.0,162.487
65,1,65,-2592.67908823773,-2592.67908823773,,,,972.0,162.456
66,1,66,-2582.67908823773,-2582.67908823773,,,,1007.0,162.416
67,1,67,-2572.67908823773,-2572.67908823773,,,,1038.0,162.299
68,1,68,-2561.67908823773,-2561.67908823773,,,,1082.0,162.289
69,1,69,-2551.67908823773,-2551.67908823773,,,,1125.0,162.242
70,1,70,-2541.67908823773,-2541.67908823773,,,,1166.0,162.155
72,1,72,-2521.67908823773,-2521.67908823773,,,,1243.0,162.12
73,1,73,-2511.67908823773,-2511.67908823773,,,,1281.0,162.034
74,1,74,-2501.67908823773,-2501.67908823773,,,,1314.0,162.026
75,1,75,-2491.67908823773,-2491.67908823773,,,,1340.0,162.007
76,1,76,-2481.67908823773,-2481.67908823773,,,,1356.0,161.957
170,1,170,-1540.67908823773,-1540.67908823773,,,,1137.0,161.872
172,1,172,-1520.67908823773,-1520.67908823773,,,,1175.0,161.768
173,1,173,-1509.67908823773,-1509.67908823773,,,,1195.0,161.681
175,1,175,-1489.67908823773,-1489.67908823773,,,,1229.0,161.672
176,1,176,-1479.67908823773,-1479.67908823773,,,,1243.0,161.575
178,1,178,-1459.67908823773,-1459.67908823773,,,,1286.0,161.444
179,1,179,-1449.67908823773,-1449.67908823773,,,,1317.0,161.398
180,1,180,-1439.67908823773,-1439.67908823773,,,,1345.0,161.309
181,1,181,-1429.67908823773,-1429.67908823773,,,,1373.0,161.233
183,1,183,-1409.67908823773,-1409.67908823773,,,,1413.0,161.208
184,1,184,-1399.67908823773,-1399.67908823773,,,,1441.0,161.019
186,1,186,-1379.67908823773,-1379.67908823773,,,,1493.0,160.869
188,1,188,-1359.67908823773,-1359.67908823773,,,,1530.0,160.85
189,1,189,-1349.67908823773,-1349.67908823773,,,,1552.0,160.706
191,1,191,-1329.67908823773,-1329.67908823773,,,,1589.0,160.601
193,1,193,-1309.67908823773,-1309.67908823773,,,,1615.0,160.514
194,1,194,-1299.67908823773,-1299.67908823773,,,,1621.0,160.434
212,1,212,-1119.67908823773,-1119.67908823773,,,,1654.0,160.386
213,1,213,-1109.67908823773,-1109.67908823773,,,,1649.0,160.285
214,1,214,-1099.67908823773,-1099.67908823773,,,,1631.0,160.201
215,1,215,-1089.67908823773,-1089.67908823773,,,,1606.0,160.129
216,1,216,-1079.67908823773,-1079.67908823773,,,,1568.0,160.09
217,1,217,-1069.67908823773,-1069.67908823773,,,,1531.0,160.058
218,1,218,-1059.67908823773,-1059.67908823773,,,,1509.0,159.993
219,1,219,-1049.67908823773,-1049.67908823773,,,,1499.0,159.949
220,1,220,-1039.67908823773,-1039.67908823773,,,,1491.0,159.922
221,1,221,-1029.67908823773,-1029.67908823773,,,,1472.0,159.878
222,1,222,-1019.67908823773,-1019.67908823773,,,,1449.0,159.832
223,1,223,-1009.67908823773,-1009.67908823773,,,,1430.0,159.778
224,1,224,-999.67908823773,-999.67908823773,,,,1417.0,159.692
225,1,225,-989.67908823773,-989.67908823773,,,,1398.0,159.603
226,1,226,-979.67908823773,-979.67908823773,,,,1376.0,159.486
227,1,227,-969.67908823773,-969.67908823773,,,,1363.0,159.385
228,1,228,-959.67908823773,-959.67908823773,,,,1343.0,159.26
229,1,229,-949.67908823773,-949.67908823773,,,,1320.0,159.154
230,1,230,-939.67908823773,-939.67908823773,,,,1308.0,159.045
231,1,231,-928.67908823773,-928.67908823773,,,,1294.0,158.942
232,1,232,-918.67908823773,-918.67908823773,,,,1286.0,158.843
233,1,233,-908.67908823773,-908.67908823773,,,,1272.0,158.753
234,1,234,-898.67908823773,-898.67908823773,,,,1250.0,158.67
235,1,235,-888.67908823773,-888.67908823773,,,,1234.0,158.618
236,1,236,-878.67908823773,-878.67908823773,,,,1239.0,158.505
237,1,237,-868.67908823773,-868.67908823773,,,,1247.0,158.307
238,1,238,-858.67908823773,-858.67908823773,,,,1250.0,158.28
239,1,239,-848.67908823773,-848.67908823773,,,,1247.0,158.216
240,1,240,-838.67908823773,-838.67908823773,,,,1247.0,158.021
241,1,241,-828.67908823773,-828.67908823773,,,,1246.0,157.802
242,1,242,-818.67908823773,-818.67908823773,,,,1234.0,157.604
243,1,243,-808.67908823773,-808.67908823773,,,,1220.0,157.581
275,1,275,-488.67908823773,-488.67908823773,,,,1528.0,157.512
277,1,277,-468.67908823773,-468.67908823773,,,,1576.0,157.408
279,1,279,-448.67908823773,-448.67908823773,,,,1620.0,157.341
280,1,280,-438.67908823773,-438.67908823773,,,,1636.0,157.296
289,1,289,-348.67908823773,-348.67908823773,,,,1704.0,157.274
295,1,295,-288.67908823773,-288.67908823773,,,,1852.0,157.265
296,1,296,-278.67908823773,-278.67908823773,,,,1886.0,157.141
297,1,297,-267.67908823773,-267.67908823773,,,,1912.0,157.055
298,1,298,-257.67908823773,-257.67908823773,,,,1935.0,156.96
300,1,300,-237.67908823773,-237.67908823773,,,,1995.0,156.937
301,1,301,-227.67908823773,-227.67908823773,,,,2027.0,156.832
302,1,302,-217.67908823773,-217.67908823773,,,,2043.0,156.747
305,1,305,-187.67908823773,-187.67908823773,,,,2137.0,156.724
307,1,307,-167.67908823773,-167.67908823773,,,,2195.0,156.657
308,1,308,-157.67908823773,-157.67908823773,,,,2213.0,156.51
313,1,313,-107.67908823773,-107.67908823773,,,,2339.0,156.369
314,1,314,-97.67908823773,-97.67908823773,,,,2334.0,156.189
315,1,315,-87.67908823773,-87.67908823773,,,,2333.0,156.007
316,1,316,-77.67908823773,-77.67908823773,,,,2324.0,155.831
317,1,317,-67.67908823773,-67.67908823773,,,,2316.0,155.649
318,1,318,-57.67908823773,-57.67908823773,,,,2303.0,155.454
319,1,319,-47.67908823773,-47.67908823773,,,,2289.0,155.253
320,1,320,-37.67908823773,-37.67908823773,,,,2270.0,155.054
321,1,321,-27.67908823773,-27.67908823773,,,,2245.0,154.864
322,1,322,-24.67908823773,-24.67908823773,,,,2237.0,154.809
323,1,323,-23.67908823773,-23.67908823773,,,,2233.0,154.79
324,1,324,-13.67908823773,-13.67908823773,,,,2211.0,154.609
325,1,325,-3.67908823773,-3.67908823773,,,,2189.0,154.439
326,1,326,6.32091176227,6.32091176227,,,,2162.0,154.272
327,1,327,16.32091176227,16.32091176227,,,,2143.0,154.111
328,1,328,26.32091176227,26.32091176227,,,,2123.0,153.971
329,1,329,36.32091176227,36.32091176227,,,,2103.0,153.803
330,1,330,46.32091176227,46.32091176227,,,,2077.0,153.661
331,1,331,56.32091176227,56.32091176227,,,,2054.0,153.532
332,1,332,66.32091176227,66.32091176227,,,,2026.0,153.394
333,1,333,76.32091176227,76.32091176227,,,,2002.0,153.257
334,1,334,86.32091176227,86.32091176227,,,,1983.0,153.117
335,1,335,96.32091176227,96.32091176227,,,,1960.0,152.977
336,1,336,106.32091176227,106.32091176227,,,,1935.0,152.814
337,1,337,116.32091176227,116.32091176227,,,,1901.0,152.649
338,1,338,126.32091176227,126.32091176227,,,,1863.0,152.491
339,1,339,136.32091176227,136.32091176227,,,,1837.0,152.372
340,1,340,146.32091176227,146.32091176227,,,,1829.0,152.312
341,1,341,156.32091176227,156.32091176227,,,,1830.0,152.283
342,1,342,166.32091176227,166.32091176227,,,,1825.0,152.219
343,1,343,176.32091176227,176.32091176227,,,,1821.0,152.105
344,1,344,186.32091176227,186.32091176227,,,,1817.0,151.966
345,1,345,196.32091176227,196.32091176227,,,,1804.0,151.832
346,1,346,206.32091176227,206.32091176227,,,,1781.0,151.675
347,1,347,216.32091176227,216.32091176227,,,,1767.0,151.514
348,1,348,226.32091176227,226.32091176227,,,,1757.0,151.337
349,1,349,236.32091176227,236.32091176227,,,,1740.0,151.153
350,1,350,246.32091176227,246.32091176227,,,,1723.0,150.965
351,1,351,256.32091176227,256.32091176227,,,,1729.0,150.826
352,1,352,266.32091176227,266.32091176227,,,,1729.0,150.716
353,1,353,277.32091176227,277.32091176227,,,,1718.0,150.573
354,1,354,287.32091176227,287.32091176227,,,,1719.0,150.461
355,1,355,297.32091176227,297.32091176227,,,,1692.0,150.44
362,1,362,367.32091176227,367.32091176227,,,,1760.0,150.433
363,1,363,377.32091176227,377.32091176227,,,,1791.0,150.416
364,1,364,387.32091176227,387.32091176227,,,,1808.0,150.325
366,1,366,407.32091176227,407.32091176227,,,,1853.0,150.315
367,1,367,417.32091176227,417.32091176227,,,,1880.0,150.285
368,1,368,427.32091176227,427.32091176227,,,,1915.0,150.19
369,1,369,437.32091176227,437.32091176227,,,,1946.0,150.174
370,1,370,447.32091176227,447.32091176227,,,,1972.0,150.173
371,1,371,457.32091176227,457.32091176227,,,,1997.0,150.166
372,1,372,467.32091176227,467.32091176227,,,,2020.0,150.019
373,1,373,477.32091176227,477.32091176227,,,,2041.0,149.965
374,1,374,487.32091176227,487.32091176227,,,,2059.0,149.961
375,1,375,497.32091176227,497.32091176227,,,,2082.0,149.914
376,1,376,507.32091176227,507.32091176227,,,,2092.0,149.897
381,1,381,557.32091176227,557.32091176227,,,,2186.0,149.872
382,1,382,567.32091176227,567.32091176227,,,,2212.0,149.765
384,1,384,587.32091176227,587.32091176227,,,,2258.0,149.673
386,1,386,607.32091176227,607.32091176227,,,,2311.0,149.632
388,1,388,627.32091176227,627.32091176227,,,,2355.0,149.6
429,2,14,1026.32091176227,1026.32091176227,,,,1738.0,149.531
430,2,15,1036.32091176227,1036.32091176227,,,,1725.0,149.303
431,2,16,1046.32091176227,1046.32091176227,,,,1717.0,149.092
432,2,17,1056.32091176227,1056.32091176227,,,,1701.0,148.884
433,2,18,1066.32091176227,1066.32091176227,,,,1686.0,148.661
434,2,19,1076.32091176227,1076.32091176227,,,,1671.0,148.441
435,2,20,1086.32091176227,1086.32091176227,,,,1668.0,148.233
436,2,21,1096.32091176227,1096.32091176227,,,,1652.0,148.017
437,2,22,1107.32091176227,1107.32091176227,,,,1629.0,147.808
438,2,23,1117.32091176227,1117.32091176227,,,,1609.0,147.578
439,2,24,1127.32091176227,1127.32091176227,,,,1602.0,147.361
440,2,25,1137.32091176227,1137.32091176227,,,,1583.0,147.156
441,2,26,1147.32091176227,1147.32091176227,,,,1570.0,146.959
442,2,27,1157.32091176227,1157.32091176227,,,,1552.0,146.754
443,2,28,1167.32091176227,1167.32091176227,,,,1547.0,146.55
444,2,29,1177.32091176227,1177.32091176227,,,,1542.0,146.359
445,2,30,1187.32091176227,1187.32091176227,,,,1551.0,146.195
448,2,33,1217.32091176227,1217.32091176227,,,,1546.0,146.015
