fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
254,,,,0.0,407.809593234747,407.809593234747,1,1,163.014,0.0
589,,,,0.0,1412.809593234747,1412.809593234747,336,1,163.006,0.0
590,,,,0.0,1415.809593234747,1415.809593234747,337,1,162.986,0.0
594,,,,0.0,1427.809593234747,1427.809593234747,341,1,162.974,0.0
595,,,,0.0,1430.809593234747,1430.809593234747,342,1,162.919,0.0
596,,,,0.0,1433.809593234747,1433.809593234747,343,1,162.901,0.0
600,,,,0.0,1445.809593234747,1445.809593234747,347,1,162.864,0.0
601,,,,0.0,1448.809593234747,1448.809593234747,348,1,162.823,0.0
605,,,,0.0,1460.809593234747,1460.809593234747,352,1,162.781,0.0
606,,,,0.0,1463.809593234747,1463.809593234747,353,1,162.744,0.0
610,,,,0.0,1475.809593234747,1475.809593234747,357,1,162.695,0.0
611,,,,0.0,1478.809593234747,1478.809593234747,358,1,162.671,0.0
615,,,,0.0,1490.809593234747,1490.809593234747,362,1,162.64,0.0
616,,,,0.0,1493.809593234747,1493.809593234747,363,1,162.625,0.0
619,,,,0.0,1502.809593234747,1502.809593234747,366,1,162.616,0.0
620,,,,0.0,1505.809593234747,1505.809593234747,367,1,162.564,0.0
621,,,,0.0,1508.809593234747,1508.809593234747,368,1,162.558,0.0
625,,,,0.0,1520.809593234747,1520.809593234747,372,1,162.507,0.0
626,,,,0.0,1523.809593234747,1523.809593234747,373,1,162.456,0.0
627,,,,0.0,1526.809593234747,1526.809593234747,374,1,162.427,0.0
631,,,,0.0,1538.809593234747,1538.809593234747,378,1,162.411,0.0
632,,,,0.0,1541.809593234747,1541.809593234747,379,1,162.35,0.0
633,,,,0.0,1544.809593234747,1544.809593234747,380,1,162.324,0.0
636,,,,0.0,1553.809593234747,1553.809593234747,383,1,162.32,0.0
637,,,,0.0,1556.809593234747,1556.809593234747,384,1,162.258,0.0
638,,,,0.0,1559.809593234747,1559.809593234747,385,1,162.209,0.0
639,,,,0.0,1562.809593234747,1562.809593234747,386,1,162.196,0.0
643,,,,0.0,1574.809593234747,1574.809593234747,390,1,162.126,0.0
644,,,,0.0,1577.809593234747,1577.809593234747,391,1,162.064,0.0
645,,,,0.0,1580.809593234747,1580.809593234747,392,1,162.017,0.0
646,,,,0.0,1583.809593234747,1583.809593234747,393,1,162.008,0.0
649,,,,0.0,1592.809593234747,1592.809593234747,396,1,161.995,0.0
650,,,,0.0,1595.809593234747,1595.809593234747,397,1,161.942,0.0
651,,,,0.0,1598.809593234747,1598.809593234747,398,1,161.895,0.0
652,,,,0.0,1601.809593234747,1601.809593234747,399,1,161.843,0.0
