fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,1,1,-3901.00558715547,-3901.00558715547,,,,206.0,158.54
3,1,3,-3840.00558715547,-3840.00558715547,,,,206.0,158.536
13,1,13,-3640.00558715547,-3640.00558715547,,,,360.0,158.505
14,1,14,-3635.00558715547,-3635.00558715547,,,,368.0,158.393
15,1,15,-3630.00558715547,-3630.00558715547,,,,374.0,158.291
16,1,16,-3625.00558715547,-3625.00558715547,,,,380.0,158.231
27,1,27,-3569.00558715547,-3569.00558715547,,,,507.0,158.211
28,1,28,-3564.00558715547,-3564.00558715547,,,,514.0,158.13
29,1,29,-3559.00558715547,-3559.00558715547,,,,522.0,158.068
30,1,30,-3554.00558715547,-3554.00558715547,,,,531.0,158.001
31,1,31,-3549.00558715547,-3549.00558715547,,,,550.0,157.941
32,1,32,-3544.00558715547,-3544.00558715547,,,,576.0,157.874
33,1,33,-3539.00558715547,-3539.00558715547,,,,585.0,157.823
34,1,34,-3534.00558715547,-3534.00558715547,,,,601.0,157.805
42,1,42,-3494.00558715547,-3494.00558715547,,,,697.0,157.733
43,1,43,-3489.00558715547,-3489.00558715547,,,,705.0,157.618
44,1,44,-3484.00558715547,-3484.00558715547,,,,729.0,157.524
45,1,45,-3479.00558715547,-3479.00558715547,,,,753.0,157.457
46,1,46,-3474.00558715547,-3474.00558715547,,,,777.0,157.427
52,1,52,-3444.00558715547,-3444.00558715547,,,,838.0,157.407
53,1,53,-3439.00558715547,-3439.00558715547,,,,845.0,157.321
54,1,54,-3434.00558715547,-3434.00558715547,,,,853.0,157.238
55,1,55,-3429.00558715547,-3429.00558715547,,,,864.0,157.189
61,1,61,-3399.00558715547,-3399.00558715547,,,,855.0,157.155
62,1,62,-3394.00558715547,-3394.00558715547,,,,861.0,157.107
63,1,63,-3389.00558715547,-3389.00558715547,,,,867.0,157.025
64,1,64,-3384.00558715547,-3384.00558715547,,,,872.0,157.008
66,1,66,-3374.00558715547,-3374.00558715547,,,,881.0,156.995
67,1,67,-3369.00558715547,-3369.00558715547,,,,885.0,156.915
68,1,68,-3364.00558715547,-3364.00558715547,,,,896.0,156.886
71,1,71,-3349.00558715547,-3349.00558715547,,,,917.0,156.805
74,1,74,-3334.00558715547,-3334.00558715547,,,,941.0,156.742
75,1,75,-3329.00558715547,-3329.00558715547,,,,957.0,156.721
78,1,78,-3314.00558715547,-3314.00558715547,,,,973.0,156.661
79,1,79,-3309.00558715547,-3309.00558715547,,,,980.0,156.614
82,1,82,-3294.00558715547,-3294.00558715547,,,,1003.0,156.607
